Country/Region,Province/State,Admin2,Population
US,Indiana,Cass,37955
US,Indiana,Clark,117360
US,Indiana,Clay,26170
US,Indiana,Clinton,32250
US,Indiana,Crawford,10558
US,Indiana,Daviess,33147
US,Indiana,Dearborn,49568
US,Indiana,Decatur,26794
US,Indiana,DeKalb,43226
US,Indiana,Delaware,114772
US,Indiana,Dubois,42565
US,Indiana,Elkhart,205560
US,Indiana,Fayette,23047
US,Indiana,Floyd,77781
US,Indiana,Fountain,16351
US,Indiana,Franklin,22736
US,Indiana,Fulton,20092
US,Indiana,Gibson,33452
US,Indiana,Grant,65936
US,Indiana,Greene,32006
US,Indiana,Hamilton,330086
US,Indiana,Hancock,76351
US,Indiana,Harrison,40350
US,Indiana,Hendricks,167009
US,Indiana,Henry,48271
US,Indiana,Howard,82366
US,Indiana,Huntington,36240
US,Indiana,Jackson,44111
US,Indiana,Jasper,33370
US,Indiana,Jay,20764
US,Indiana,Jefferson,32208
US,Indiana,Jennings,27611
US,Indiana,Johnson,156225
US,Indiana,Knox,36895
US,Indiana,Kosciusko,79344
US,Indiana,LaGrange,39330
US,Indiana,Lake,484411
US,Indiana,LaPorte,110007
US,Indiana,Lawrence,45668
US,Indiana,Madison,129641
US,Indiana,Marion,954670
US,Indiana,Marshall,46248
US,Indiana,Martin,10217
US,Indiana,Miami,35567
US,Indiana,Monroe,146917
US,Indiana,Montgomery,38346
US,Indiana,Morgan,70116
US,Indiana,Newton,14011
US,Indiana,Noble,47532
US,Indiana,Ohio,5844
US,Indiana,Orange,19489
US,Indiana,Owen,20845
US,Indiana,Parke,16927
US,Indiana,Perry,19102
US,Indiana,Pike,12410
US,Indiana,Porter,169594
US,Indiana,Posey,25540
US,Indiana,Pulaski,12469
US,Indiana,Putnam,37779
US,Indiana,Randolph,24851
US,Indiana,Ripley,28523
US,Indiana,Rush,16663
US,Indiana,St. Joseph,270771
US,Indiana,Scott,23878
US,Indiana,Shelby,44593
US,Indiana,Spencer,20327
US,Indiana,Starke,22935
US,Indiana,Steuben,34586
US,Indiana,Sullivan,20690
US,Indiana,Switzerland,10717
US,Indiana,Tippecanoe,193048
US,Indiana,Tipton,15128
US,Indiana,Union,7037
US,Indiana,Vanderburgh,180974
US,Indiana,Vermillion,15479
US,Indiana,Vigo,107386
US,Indiana,Wabash,31280
US,Indiana,Warren,8263
US,Indiana,Warrick,62567
US,Indiana,Washington,27943
US,Indiana,Wayne,65936
US,Indiana,Wells,28206
US,Indiana,White,24133
US,Indiana,Whitley,34074
US,Iowa,Adair,7063
US,Iowa,Adams,3645
US,Iowa,Allamakee,13832
US,Iowa,Appanoose,12437
US,Iowa,Audubon,5506
US,Iowa,Benton,25642
US,Iowa,Black Hawk,132408
US,Iowa,Boone,26346
US,Iowa,Bremer,24947
US,Iowa,Buchanan,21199
US,Iowa,Buena Vista,19874
US,Iowa,Butler,14539
US,Iowa,Calhoun,9699
US,Iowa,Carroll,20154
US,Iowa,Cass,12930
US,Iowa,Cedar,18627
US,Iowa,Cerro Gordo,42647
US,Iowa,Cherokee,11321
US,Iowa,Chickasaw,11964
US,Iowa,Clarke,9423
