Date,Country/Region,Confirmed,Deaths,Recovered,Active Cases,Previous Confirmed,Previous Deaths,Previous Recovered,Previous Active,Prev2 Confirmed,Population,Daily Confirmed,Daily Deaths,Daily Recovered,Daily Active,Previous Daily Confirmed
2020-02-04,Taiwan*,11,0,0,11,10,0,0,10,10,23604265,1,0,0,1,0
2020-02-04,Thailand,25,0,0,25,19,0,0,19,19,66484342,6,0,0,6,0
2020-02-04,US,11,0,0,11,11,0,0,11,8,329493716,0,0,0,0,3
2020-02-04,United Arab Emirates,5,0,0,5,5,0,0,5,5,9890400,0,0,0,0,0
2020-02-04,United Kingdom,2,0,0,2,2,0,0,2,2,66435600,0,0,0,0,0
2020-02-04,Vietnam,8,0,0,8,8,0,0,8,6,96208984,0,0,0,0,2
2020-02-05,Australia,13,0,0,13,13,0,0,13,12,25654023,0,0,0,0,1
2020-02-05,Belgium,1,0,0,1,1,0,0,1,,11524454,0,0,0,0,
2020-02-05,Cambodia,1,0,0,1,1,0,0,1,1,15288489,0,0,0,0,0
2020-02-05,Canada,5,0,0,5,4,0,0,4,4,37966227,1,0,0,1,0
2020-02-05,China,27440,563,0,26877,23707,491,0,23216,19716,1401870440,3733,72,0,3661,3991
2020-02-05,Finland,1,0,0,1,1,0,0,1,1,5527573,0,0,0,0,0
2020-02-05,France,6,0,0,6,6,0,0,6,6,67069000,0,0,0,0,0
2020-02-05,Germany,12,0,0,12,12,0,0,12,12,83149300,0,0,0,0,0
2020-02-05,India,3,0,0,3,3,0,0,3,3,1360094159,0,0,0,0,0
2020-02-05,Italy,2,0,0,2,2,0,0,2,2,60243406,0,0,0,0,0
2020-02-05,Japan,22,0,0,22,22,0,0,22,20,126010000,0,0,0,0,2
2020-02-05,"Korea, South",19,0,0,19,16,0,0,16,15,51780579,3,0,0,3,1
2020-02-05,Malaysia,12,0,0,12,10,0,0,10,8,32726760,2,0,0,2,2
2020-02-05,Nepal,1,0,0,1,1,0,0,1,1,29609623,0,0,0,0,0
2020-02-05,Philippines,2,1,0,1,2,1,0,1,2,108438081,0,0,0,0,0
2020-02-05,Russia,2,0,0,2,2,0,0,2,2,146745098,0,0,0,0,0
2020-02-05,Singapore,28,0,0,28,24,0,0,24,18,5703600,4,0,0,4,6
2020-02-05,Spain,1,0,0,1,1,0,0,1,1,47100396,0,0,0,0,0
