Date,Country/Region,Confirmed,Deaths,Recovered,Active Cases,Previous Confirmed,Previous Deaths,Previous Recovered,Previous Active,Prev2 Confirmed,Previous Week Confirmed,Population,Daily Confirmed,Daily Deaths,Daily Recovered,Daily Active,Previous Daily Confirmed,Weekly Confirmed
2020-12-11,Kyrgyzstan,77059,1307,0,75752,76391,1306,0,75085,76012,74373,6523500,668,1,0,667,379,2686
2020-12-11,Laos,41,0,0,41,41,0,0,41,41,39,,0,0,0,0,0,2
2020-12-11,Latvia,24386,319,0,24067,23706,304,0,23402,22816,19993,1906800,680,15,0,665,890,4393
2020-12-11,Lebanon,143705,1182,0,142523,142187,1170,0,141017,140409,134295,6825442,1518,12,0,1506,1778,9410
2020-12-11,Lesotho,2214,44,0,2170,2178,44,0,2134,2164,2150,,36,0,0,36,14,64
2020-12-11,Liberia,1676,83,0,1593,1676,83,0,1593,1676,1676,4475353,0,0,0,0,0,0
2020-12-11,Libya,89880,1278,0,88602,89183,1273,0,87910,88522,85529,,697,5,0,692,661,4351
2020-12-11,Liechtenstein,1466,20,0,1446,1441,19,0,1422,1432,1351,38749,25,1,0,24,9,115
2020-12-11,Lithuania,86949,764,0,86185,83883,735,0,83148,80556,69582,2793471,3066,29,0,3037,3327,17367
2020-12-11,Luxembourg,40755,392,0,40363,40037,384,0,39653,38476,37017,613894,718,8,0,710,1561,3738
2020-12-11,MS Zaandam,9,2,0,7,9,2,0,7,9,9,,0,0,0,0,0,0
2020-12-11,Madagascar,17473,255,0,17218,17473,255,0,17218,17473,17341,25680342,0,0,0,0,0,132
2020-12-11,Malawi,6055,186,0,5869,6051,186,0,5865,6051,6047,,4,0,0,4,0,8
2020-12-11,Malaysia,80309,402,0,79907,78499,396,0,78103,76265,70236,32726760,1810,6,0,1804,2234,10073
2020-12-11,Maldives,13326,48,0,13278,13308,47,0,13261,13274,13143,374775,18,1,0,17,34,183
2020-12-11,Mali,5649,185,0,5464,5576,184,0,5392,5469,4938,,73,1,0,72,107,711
2020-12-11,Malta,10980,166,0,10814,10884,164,0,10720,10778,10320,493559,96,2,0,94,106,660
2020-12-11,Marshall Islands,4,0,0,4,4,0,0,4,4,4,,0,0,0,0,0,0
2020-12-11,Mauritania,10501,210,0,10291,10268,210,0,10058,10105,9181,4077347,233,0,0,233,163,1320
2020-12-11,Mauritius,515,10,0,505,515,10,0,505,515,508,1265985,0,0,0,0,0,7
2020-12-11,Mexico,1229379,113019,0,1116360,1217126,112326,0,1104800,1205229,1156770,126577691,12253,693,0,11560,11897,72609
2020-12-11,Moldova,124264,2521,0,121743,122685,2500,0,120185,120970,113829,2681735,1579,21,0,1558,1715,10435
2020-12-11,Monaco,659,3,0,656,657,3,0,654,655,630,38300,2,0,0,2,2,29
2020-12-11,Mongolia,906,0,0,906,905,0,0,905,898,842,3308788,1,0,0,1,7,64
2020-12-11,Montenegro,40546,569,0,39977,40165,566,0,39599,39607,37467,622359,381,3,0,378,558,3079
2020-12-11,Morocco,394564,6542,0,388022,391529,6492,0,385037,388184,372620,35846095,3035,50,0,2985,3345,21944
2020-12-11,Mozambique,16680,139,0,16541,16521,139,0,16382,16440,16038,,159,0,0,159,81,642
2020-12-11,Namibia,16097,160,0,15937,15773,158,0,15615,15472,14804,2458936,324,2,0,322,301,1293
2020-12-11,Nepal,246694,1674,0,245020,245650,1663,0,243987,244433,238861,29609623,1044,11,0,1033,1217,7833
2020-12-11,Netherlands,604452,10051,0,594401,595473,9985,0,585488,586643,553040,17447181,8979,66,0,8913,8830,51412
2020-12-11,New Zealand,2092,25,0,2067,2092,25,0,2067,2088,2078,4972216,0,0,0,0,4,14
2020-12-11,Nicaragua,5887,162,0,5725,5887,162,0,5725,5887,5838,6460411,0,0,0,0,0,49
2020-12-11,Niger,2160,80,0,2080,2126,80,0,2046,2078,1726,22314743,34,0,0,34,48,434
2020-12-11,Nigeria,72140,1190,0,70950,71344,1190,0,70154,70669,68627,206139587,796,0,0,796,675,3513
